"city","city_ascii","lat","lng","country","iso2","iso3","admin_name","capital","population","id"
"Azuqueca de Henares","Azuqueca de Henares","40.5647","-3.2681","Spain","ES","ESP","Castille-La Mancha","","35236","1724909657"
"Yecla","Yecla","38.6136","-1.1147","Spain","ES","ESP","Murcia","","35234","1724394283"
"Galapagar","Galapagar","40.5764","-4.0019","Spain","ES","ESP","Madrid","","34834","1724218090"
"Villajoyosa","Villajoyosa","38.5053","-0.2328","Spain","ES","ESP","Valencia","","34828","1724104919"
"Tortosa","Tortosa","40.8128","0.5233","Spain","ES","ESP","Catalonia","","34639","1724228664"
"Inca","Inca","39.7167","2.9167","Spain","ES","ESP","Balearic Islands","","34577","1724489288"
"San Juan Despí","San Juan Despi","41.3681","2.0581","Spain","ES","ESP","Catalonia","","34568","1724606295"
"Mazarrón","Mazarron","37.5983","-1.3139","Spain","ES","ESP","Murcia","","34462","1724139198"
"Esposende","Esposende","41.5333","-8.7833","Portugal","PT","PRT","Braga","minor","34254","1620944667"
"Úbeda","Ubeda","38.0133","-3.3705","Spain","ES","ESP","Andalusia","","34208","1724367504"
"Villena","Villena","38.6350","-0.8658","Spain","ES","ESP","Valencia","","34144","1724638080"
"Almendralejo","Almendralejo","38.6833","-6.4167","Spain","ES","ESP","Extremadura","","33948","1724000018"
"San Roque","San Roque","36.2097","-5.3844","Spain","ES","ESP","Andalusia","","33646","1724332438"
"Aranda de Duero","Aranda de Duero","41.6833","-3.6833","Spain","ES","ESP","Castille-Leon","","33626","1724218741"
"Arteijo","Arteijo","43.3044","-8.5114","Spain","ES","ESP","Galicia","","33516","1724272253"
"Aldaya","Aldaya","39.4639","-0.4628","Spain","ES","ESP","Valencia","","33376","1724676507"
"Ronda","Ronda","36.7372","-5.1647","Spain","ES","ESP","Andalusia","","33329","1724795472"
"Castro-Urdiales","Castro-Urdiales","43.3844","-3.2150","Spain","ES","ESP","Cantabria","","33225","1724390704"
"Totana","Totana","37.7711","-1.5003","Spain","ES","ESP","Murcia","","33149","1724153814"
"Níjar","Nijar","36.9667","-2.2000","Spain","ES","ESP","Andalusia","","32858","1724044503"
"Salt","Salt","41.9761","2.7881","Spain","ES","ESP","Catalonia","","32517","1724677327"
"Amés","Ames","42.9000","-8.6333","Spain","ES","ESP","Galicia","","32482","1724737109"
"Ingenio","Ingenio","27.9214","-15.4325","Spain","ES","ESP","Canary Islands","","32354","1724555097"
"Ribeira Grande","Ribeira Grande","37.8225","-25.5181","Portugal","PT","PRT","Azores","","32112","1620024564"
"Sitges","Sitges","41.2370","1.8230","Spain","ES","ESP","Catalonia","","31954","1724328412"
"San Pedro de Ribas","San Pedro de Ribas","41.2597","1.7736","Spain","ES","ESP","Catalonia","","31786","1724896777"
"Manises","Manises","39.4833","-0.4500","Spain","ES","ESP","Valencia","","31573","1724921476"
"Carballo","Carballo","43.2167","-8.6833","Spain","ES","ESP","Galicia","","31416","1724180814"
"Ílhavo","Ilhavo","40.6000","-8.6667","Portugal","PT","PRT","Aveiro","minor","31383","1620545975"
"Navalcarnero","Navalcarnero","40.2847","-4.0136","Spain","ES","ESP","Madrid","","31379","1724865858"
"Lagos","Lagos","37.1028","-8.6728","Portugal","PT","PRT","Faro","minor","31049","1620635530"
"Espinho","Espinho","41.0000","-8.6333","Portugal","PT","PRT","Aveiro","minor","31027","1620002917"
"Arcos de la Frontera","Arcos de la Frontera","36.7500","-5.8000","Spain","ES","ESP","Andalusia","","30953","1724851482"
"Alcázar de San Juan","Alcazar de San Juan","39.4056","-3.2056","Spain","ES","ESP","Castille-La Mancha","","30928","1724889534"
"Coria del Río","Coria del Rio","37.2833","-6.0500","Spain","ES","ESP","Andalusia","","30887","1724372076"
"Culleredo","Culleredo","43.2883","-8.3894","Spain","ES","ESP","Galicia","","30864","1724416062"
"Puerto de la Cruz","Puerto de la Cruz","28.4167","-16.5333","Spain","ES","ESP","Canary Islands","","30849","1724298488"
"Calafell","Calafell","41.2020","1.5700","Spain","ES","ESP","Catalonia","","30631","1724383580"
"Illescas","Illescas","40.1167","-3.8333","Spain","ES","ESP","Castille-La Mancha","","30553","1724426043"
"Hellín","Hellin","38.5167","-1.6833","Spain","ES","ESP","Castille-La Mancha","","30492","1724570430"
"Valdepeñas","Valdepenas","38.7617","-3.3850","Spain","ES","ESP","Castille-La Mancha","","30411","1724776859"
"Salou","Salou","41.0770","1.1440","Spain","ES","ESP","Catalonia","","30224","1724922401"
"Crevillente","Crevillente","38.2486","-0.8089","Spain","ES","ESP","Valencia","","30191","1724275111"
"San Andrés del Rabanedo","San Andres del Rabanedo","42.6167","-5.6000","Spain","ES","ESP","Castille-Leon","","29961","1724350553"
"Mahón","Mahon","39.8875","4.2611","Spain","ES","ESP","Balearic Islands","","29902","1724771449"
"Alacuás","Alacuas","39.4583","-0.4628","Spain","ES","ESP","Valencia","","29825","1724760114"
"Puente-Genil","Puente-Genil","37.3833","-4.7667","Spain","ES","ESP","Andalusia","","29781","1724654674"
"Durango","Durango","43.1689","-2.6300","Spain","ES","ESP","Basque Country","","29767","1724494232"
"Charneca","Charneca","38.6300","-9.2000","Portugal","PT","PRT","Setúbal","","29763","1620395868"
"Santiago do Cacém","Santiago do Cacem","38.0167","-8.7000","Portugal","PT","PRT","Setúbal","minor","29749","1620952831"
"Vinaroz","Vinaroz","40.4686","0.4736","Spain","ES","ESP","Valencia","","29686","1724995416"
"Rota","Rota","36.6167","-6.3500","Spain","ES","ESP","Andalusia","","29675","1724152240"
"Perafita","Perafita","41.2240","-8.6980","Portugal","PT","PRT","Porto","","29407","1620627406"
"Funchal","Funchal","32.6500","-16.9167","Portugal","PT","PRT","Madeira","admin","29403","1620995356"
"Póvoa de Santa Iria","Povoa de Santa Iria","38.8620","-9.0690","Portugal","PT","PRT","Lisboa","","29348","1620229335"
"Catarroja","Catarroja","39.4028","-0.4044","Spain","ES","ESP","Valencia","","29316","1724221843"
"Carmona","Carmona","37.4667","-5.6333","Spain","ES","ESP","Andalusia","","29279","1724616347"
"Fundão","Fundao","40.1333","-7.5000","Portugal","PT","PRT","Castelo Branco","minor","29213","1620544097"
"Redondela","Redondela","42.2833","-8.6167","Spain","ES","ESP","Galicia","","29192","1724657198"
"Anadia","Anadia","40.4408","-8.4350","Portugal","PT","PRT","Aveiro","minor","29150","1620362655"
"La Oliva","La Oliva","28.6111","-13.9278","Spain","ES","ESP","Canary Islands","","29099","1724741564"
"Benavente","Benavente","38.9667","-8.8000","Portugal","PT","PRT","Santarém","minor","29019","1620484545"
"Senhora da Hora","Senhora da Hora","41.1860","-8.6510","Portugal","PT","PRT","Porto","","29000","1620553414"
"Tondela","Tondela","40.5167","-8.0833","Portugal","PT","PRT","Viseu","minor","28946","1620042884"
"Arrentela","Arrentela","38.6270","-9.1030","Portugal","PT","PRT","Setúbal","","28886","1620242378"
"Lepe","Lepe","37.2542","-7.2033","Spain","ES","ESP","Andalusia","","28813","1724165295"
"Premiá de Mar","Premia de Mar","41.4919","2.3619","Spain","ES","ESP","Catalonia","","28767","1724296865"
"Martorell","Martorell","41.4770","1.9280","Spain","ES","ESP","Catalonia","","28760","1724754042"
"Candelaria","Candelaria","28.3547","-16.3711","Spain","ES","ESP","Canary Islands","","28694","1724124128"
"Benicarló","Benicarlo","40.4167","0.4167","Spain","ES","ESP","Valencia","","28681","1724776568"
"Cártama","Cartama","36.7114","-4.6306","Spain","ES","ESP","Andalusia","","28412","1724807752"
"Vícar","Vicar","36.8317","-2.6431","Spain","ES","ESP","Andalusia","","28245","1724429496"
"Camas","Camas","37.4000","-6.0333","Spain","ES","ESP","Andalusia","","28157","1724068126"
"Villaviciosa de Odón","Villaviciosa de Odon","40.3583","-3.9033","Spain","ES","ESP","Madrid","","28152","1724552632"
"San Vicente dels Horts","San Vicente dels Horts","41.3953","2.0108","Spain","ES","ESP","Catalonia","","28115","1724724364"
"Massamá","Massama","38.7570","-9.2750","Portugal","PT","PRT","Lisboa","","28112","1620579552"
"Seseña","Sesena","40.1036","-3.6981","Spain","ES","ESP","Castille-La Mancha","","28102","1724634027"
"Sueca","Sueca","39.2000","-0.3114","Spain","ES","ESP","Valencia","","28086","1724472560"
"Almazora","Almazora","39.9403","-0.0625","Spain","ES","ESP","Valencia","","27989","1724564412"
"Sestao","Sestao","43.3108","-3.0056","Spain","ES","ESP","Basque Country","","27834","1724738779"
"Lebrija","Lebrija","36.9194","-6.0781","Spain","ES","ESP","Andalusia","","27727","1724598585"
"San Pedro del Pinatar","San Pedro del Pinatar","37.8167","-0.7500","Spain","ES","ESP","Murcia","","27691","1724144996"
"Águas Santas","Aguas Santas","41.2090","-8.5890","Portugal","PT","PRT","Porto","","27470","1620762299"
"Algemesí","Algemesi","39.1897","-0.4378","Spain","ES","ESP","Valencia","","27438","1724231513"
"Almuñécar","Almunecar","36.7333","-3.6833","Spain","ES","ESP","Andalusia","","27305","1724549849"
"Morón de la Frontera","Moron de la Frontera","37.1222","-5.4517","Spain","ES","ESP","Andalusia","","27229","1724945093"
"Paiporta","Paiporta","39.4278","-0.4183","Spain","ES","ESP","Valencia","","27184","1724055183"
"Muchamiel","Muchamiel","38.4136","-0.4456","Spain","ES","ESP","Valencia","","27078","1724272993"
"Santa Eugenia","Santa Eugenia","42.5667","-8.9833","Spain","ES","ESP","Galicia","","27030","1724379476"
"Paracuellos de Jarama","Paracuellos de Jarama","40.5500","-3.5167","Spain","ES","ESP","Madrid","","27000","1724371566"
"Estarreja","Estarreja","40.7500","-8.5667","Portugal","PT","PRT","Aveiro","minor","26997","1620391989"
"San Andrés de la Barca","San Andres de la Barca","41.4478","1.9769","Spain","ES","ESP","Catalonia","","26910","1724606046"
"Alhaurín el Grande","Alhaurin el Grande","36.6331","-4.6831","Spain","ES","ESP","Andalusia","","26879","1724876495"
